market_customer_id,is_our_customer,segment,region,industry,company_size,country,potential_value_score
C0278,Yes,Mid-Market,South,Manufacturing,Medium,Germany,88
C0279,Yes,Enterprise,South,Healthcare,Small,India,9
C0280,Yes,Mid-Market,East,Healthcare,Medium,India,96
C0281,Yes,Mid-Market,South,Tech,Small,UAE,43
C0282,Yes,Mid-Market,North,Finance,Medium,Germany,62
C0283,Yes,SMB,North,Retail,Small,UK,20
C0284,Yes,Enterprise,East,Tech,Medium,USA,44
C0285,Yes,Enterprise,West,Manufacturing,Large,UK,58
C0286,Yes,SMB,East,Retail,Large,UK,59
C0287,Yes,SMB,South,Retail,Small,India,93
C0288,Yes,Mid-Market,East,Retail,Large,India,11
C0289,Yes,Mid-Market,East,Tech,Small,USA,20
C0290,Yes,SMB,East,Finance,Small,USA,65
C0291,Yes,Mid-Market,West,Healthcare,Medium,UAE,76
C0292,Yes,Mid-Market,North,Manufacturing,Large,UK,10
C0293,Yes,Enterprise,East,Tech,Large,UAE,53
C0294,Yes,Enterprise,North,Healthcare,Large,USA,2
C0295,Yes,Mid-Market,West,Finance,Medium,Germany,51
C0296,Yes,Mid-Market,East,Tech,Medium,UAE,52
C0297,Yes,Enterprise,North,Manufacturing,Small,Germany,16
C0298,Yes,SMB,South,Retail,Medium,UAE,66
C0299,Yes,Enterprise,East,Retail,Medium,USA,24
C0300,Yes,Mid-Market,West,Finance,Small,UK,1
C0301,Yes,Enterprise,South,Tech,Medium,India,32
C0302,Yes,Mid-Market,West,Retail,Medium,UK,93
C0303,Yes,Mid-Market,West,Manufacturing,Small,USA,31
C0304,Yes,SMB,West,Tech,Small,India,9
C0305,Yes,SMB,North,Tech,Large,UAE,74
C0306,Yes,Mid-Market,West,Finance,Large,USA,48
C0307,Yes,SMB,North,Retail,Large,India,53
C0308,Yes,Mid-Market,South,Manufacturing,Large,UAE,13
C0309,Yes,SMB,North,Finance,Small,Germany,33
C0310,Yes,Mid-Market,South,Finance,Large,UK,56
C0311,Yes,Enterprise,East,Tech,Small,Germany,61
C0312,Yes,Enterprise,East,Healthcare,Medium,USA,71
C0313,Yes,Mid-Market,North,Finance,Medium,USA,63
C0314,Yes,Mid-Market,West,Retail,Medium,India,53
C0315,Yes,Mid-Market,East,Retail,Small,USA,98
C0316,Yes,Enterprise,South,Healthcare,Medium,USA,54
C0317,Yes,Enterprise,North,Finance,Small,Germany,99
C0318,Yes,Mid-Market,West,Finance,Medium,USA,86
C0319,Yes,SMB,West,Manufacturing,Small,UK,1
C0320,Yes,Mid-Market,West,Finance,Large,UK,44
C0321,Yes,Mid-Market,East,Finance,Small,USA,98
C0322,Yes,Mid-Market,East,Healthcare,Large,UAE,74
C0323,Yes,SMB,North,Finance,Large,USA,53
C0324,Yes,Mid-Market,South,Tech,Medium,UAE,13
C0325,Yes,SMB,East,Manufacturing,Medium,Germany,44
C0326,Yes,Enterprise,West,Finance,Small,UAE,65
C0327,Yes,Mid-Market,West,Manufacturing,Large,India,62
C0328,Yes,Mid-Market,North,Finance,Large,USA,93
C0329,Yes,SMB,South,Finance,Small,UK,40
C0330,Yes,Mid-Market,South,Manufacturing,Medium,UAE,51
C0331,Yes,SMB,South,Tech,Small,USA,42
C0332,Yes,SMB,East,Retail,Small,Germany,31
C0333,Yes,Mid-Market,East,Healthcare,Large,USA,51
C0334,Yes,Mid-Market,South,Finance,Medium,UK,63
C0335,Yes,SMB,West,Healthcare,Small,India,78
C0336,Yes,SMB,North,Tech,Medium,USA,52
C0337,Yes,Enterprise,South,Finance,Large,USA,49
C0338,Yes,Enterprise,West,Retail,Medium,India,16
C0339,Yes,SMB,South,Retail,Large,USA,99
C0340,Yes,Mid-Market,North,Finance,Large,USA,1
C0341,Yes,Enterprise,North,Manufacturing,Small,UK,100
C0342,Yes,Enterprise,East,Manufacturing,Large,India,94
C0343,Yes,SMB,West,Finance,Large,UK,16
C0344,Yes,Enterprise,North,Healthcare,Large,UK,52
C0345,Yes,SMB,North,Retail,Large,USA,65
C0346,Yes,Enterprise,South,Healthcare,Small,UAE,45
C0347,Yes,Enterprise,West,Healthcare,Medium,Germany,38
C0348,Yes,Enterprise,North,Healthcare,Medium,India,38
C0349,Yes,Enterprise,North,Manufacturing,Small,Germany,46
C0350,Yes,Enterprise,East,Finance,Large,India,90
C0351,Yes,SMB,East,Healthcare,Large,USA,31
C0352,Yes,SMB,South,Tech,Small,India,96
C0353,Yes,Mid-Market,West,Manufacturing,Small,Germany,99
C0354,Yes,Enterprise,East,Tech,Small,UK,77
C0355,Yes,Mid-Market,North,Retail,Medium,USA,38
C0356,Yes,Enterprise,South,Finance,Large,Germany,60
C0357,Yes,Mid-Market,South,Manufacturing,Medium,India,26
C0358,Yes,Mid-Market,North,Tech,Medium,Germany,64
C0359,Yes,Mid-Market,East,Tech,Large,India,11
C0360,Yes,Enterprise,South,Manufacturing,Small,India,78
C0361,Yes,SMB,North,Healthcare,Medium,UK,17
C0362,Yes,SMB,East,Finance,Medium,UAE,51
C0363,Yes,Mid-Market,West,Manufacturing,Small,India,46
C0364,Yes,SMB,East,Healthcare,Large,UAE,56
C0365,Yes,SMB,North,Finance,Small,USA,94
C0366,Yes,Mid-Market,North,Finance,Medium,Germany,98
C0367,Yes,Mid-Market,West,Retail,Large,UAE,57
C0368,Yes,Enterprise,East,Healthcare,Large,India,17
C0369,Yes,Mid-Market,North,Manufacturing,Small,USA,49
C0370,Yes,Enterprise,North,Finance,Medium,UK,15
C0371,Yes,SMB,North,Finance,Small,USA,34
C0372,Yes,Enterprise,West,Healthcare,Medium,UK,58
C0373,Yes,Mid-Market,North,Healthcare,Small,India,97
C0374,Yes,Enterprise,North,Retail,Small,USA,53
C0375,Yes,Mid-Market,West,Finance,Large,USA,29
C0376,Yes,SMB,North,Retail,Large,UAE,18
C0377,Yes,Mid-Market,West,Healthcare,Medium,Germany,87
C0378,Yes,Enterprise,North,Healthcare,Medium,UAE,48
C0379,Yes,Mid-Market,East,Healthcare,Small,USA,75
C0380,Yes,Enterprise,West,Manufacturing,Large,UAE,88
C0381,Yes,SMB,West,Healthcare,Medium,UK,1
C0382,Yes,Mid-Market,East,Manufacturing,Large,UK,5
C0383,Yes,SMB,West,Finance,Small,India,98
C0384,Yes,SMB,North,Retail,Large,India,75
C0385,Yes,Mid-Market,East,Tech,Medium,UAE,4
C0386,Yes,Enterprise,North,Finance,Medium,UAE,14
C0387,Yes,Enterprise,North,Tech,Large,UAE,41
C0388,Yes,Mid-Market,East,Manufacturing,Large,USA,11
C0389,Yes,Enterprise,North,Retail,Medium,USA,88
C0390,Yes,Enterprise,East,Finance,Medium,UAE,59
C0391,Yes,SMB,South,Retail,Large,India,64
C0392,Yes,Mid-Market,South,Manufacturing,Small,USA,69
C0393,Yes,Enterprise,South,Healthcare,Medium,UK,83
C0394,Yes,SMB,West,Retail,Small,India,58
C0395,Yes,SMB,East,Manufacturing,Large,UK,97
C0396,Yes,Enterprise,North,Tech,Small,UAE,97
C0397,Yes,Mid-Market,North,Retail,Large,Germany,7
C0398,Yes,Enterprise,West,Retail,Small,UAE,52
C0399,Yes,SMB,South,Finance,Large,UAE,29
C0400,Yes,Mid-Market,South,Healthcare,Medium,UAE,86
C0401,Yes,Enterprise,North,Manufacturing,Small,Germany,65
C0402,Yes,Enterprise,North,Finance,Medium,India,94
C0403,Yes,Enterprise,South,Manufacturing,Large,India,89
C0404,Yes,Mid-Market,North,Tech,Medium,UAE,19
C0405,Yes,SMB,East,Tech,Large,India,4
C0406,Yes,Mid-Market,West,Finance,Medium,Germany,1
C0407,Yes,Mid-Market,East,Tech,Large,UAE,54
C0408,Yes,Mid-Market,North,Tech,Large,UAE,70
C0409,Yes,Mid-Market,West,Manufacturing,Large,India,43
C0410,Yes,Mid-Market,West,Tech,Large,USA,93
C0411,Yes,Enterprise,West,Manufacturing,Large,USA,38
C0412,Yes,SMB,South,Tech,Small,UAE,78
C0413,Yes,Enterprise,North,Finance,Large,UK,98
C0414,Yes,Mid-Market,South,Retail,Large,UK,72
C0415,Yes,Mid-Market,North,Healthcare,Large,USA,51
C0416,Yes,SMB,West,Healthcare,Medium,Germany,73
C0417,Yes,SMB,East,Manufacturing,Small,Germany,13
C0418,Yes,SMB,North,Manufacturing,Small,Germany,45
C0419,Yes,SMB,West,Tech,Large,Germany,61
C0420,Yes,Mid-Market,South,Manufacturing,Small,USA,7
C0421,Yes,Enterprise,East,Finance,Medium,UK,20
C0422,Yes,SMB,West,Retail,Medium,UK,46
C0423,Yes,SMB,South,Tech,Large,USA,86
C0424,Yes,SMB,South,Tech,Medium,UAE,75
C0425,Yes,Enterprise,North,Finance,Large,UK,19
C0426,Yes,Enterprise,East,Healthcare,Medium,Germany,85
C0427,Yes,Mid-Market,South,Manufacturing,Small,USA,90
C0428,Yes,Enterprise,West,Retail,Large,UK,12
C0429,Yes,SMB,West,Finance,Small,Germany,98
C0430,Yes,Mid-Market,North,Retail,Medium,India,28
C0431,Yes,Enterprise,North,Healthcare,Small,UAE,90
C0432,Yes,Mid-Market,North,Tech,Small,UK,30
C0433,Yes,Mid-Market,South,Finance,Medium,Germany,21
C0434,Yes,Enterprise,North,Retail,Small,USA,6
C0435,Yes,SMB,North,Healthcare,Medium,Germany,93
C0436,Yes,Enterprise,West,Manufacturing,Large,USA,42
C0437,Yes,Mid-Market,South,Healthcare,Medium,UAE,41
C0438,Yes,SMB,East,Tech,Small,USA,59
C0439,Yes,Enterprise,North,Tech,Medium,USA,64
C0440,Yes,Enterprise,West,Manufacturing,Medium,UK,99
C0441,Yes,SMB,South,Retail,Small,India,26
C0442,Yes,SMB,South,Finance,Medium,UK,91
C0443,Yes,Enterprise,South,Healthcare,Medium,USA,6
C0444,Yes,Enterprise,West,Tech,Medium,UK,12
C0445,Yes,Mid-Market,South,Retail,Large,USA,51
C0446,Yes,Enterprise,North,Finance,Small,Germany,16
C0447,Yes,Mid-Market,West,Tech,Medium,India,89
C0448,Yes,Enterprise,South,Retail,Medium,India,7
C0449,Yes,Enterprise,North,Tech,Large,UAE,20
C0450,Yes,Mid-Market,East,Manufacturing,Medium,UAE,31
C0451,Yes,Enterprise,South,Healthcare,Small,UK,81
C0452,Yes,Enterprise,East,Healthcare,Medium,UK,38
C0453,Yes,Mid-Market,East,Healthcare,Large,India,30
C0454,Yes,SMB,West,Tech,Small,India,18
C0455,Yes,Mid-Market,East,Manufacturing,Small,UK,36
C0456,Yes,Mid-Market,West,Retail,Medium,UK,92
C0457,Yes,SMB,North,Manufacturing,Medium,USA,45
C0458,Yes,SMB,East,Tech,Small,UK,36
C0459,Yes,SMB,East,Manufacturing,Small,USA,100
C0460,Yes,Mid-Market,East,Healthcare,Large,UAE,93
C0461,Yes,Mid-Market,West,Retail,Medium,Germany,62
C0462,Yes,Mid-Market,East,Healthcare,Medium,UAE,63
C0463,Yes,Mid-Market,West,Finance,Small,India,37
C0464,Yes,Enterprise,West,Tech,Medium,Germany,19
C0465,Yes,Enterprise,North,Finance,Large,USA,54
C0466,Yes,SMB,North,Manufacturing,Small,UK,58
C0467,Yes,SMB,North,Healthcare,Small,USA,99
C0468,Yes,Enterprise,West,Retail,Large,India,90
C0469,Yes,Enterprise,North,Retail,Large,UAE,64
C0470,Yes,Mid-Market,South,Manufacturing,Large,Germany,49
C0471,Yes,Mid-Market,East,Healthcare,Large,Germany,74
C0472,Yes,SMB,North,Finance,Large,Germany,23
C0473,Yes,SMB,East,Finance,Small,UAE,18
C0474,Yes,SMB,South,Finance,Large,Germany,64
C0475,Yes,Enterprise,South,Tech,Large,UK,19
