billing_id,customer_id,bill_date,revenue_amount
B000134,C0032,2025-02-19,7814
B000135,C0032,2024-04-26,4913
B000136,C0032,2024-07-15,907
B000137,C0033,2024-11-13,15209
B000138,C0033,2025-05-12,18344
B000139,C0033,2025-03-22,13828
B000140,C0034,2024-07-25,5221
B000141,C0034,2024-10-06,4470
B000142,C0035,2024-09-21,9102
B000143,C0035,2025-11-05,18045
B000144,C0036,2025-10-21,1383
B000145,C0036,2025-05-12,652
B000146,C0036,2024-02-26,2750
B000147,C0037,2025-09-08,9764
B000148,C0037,2024-03-06,13336
B000149,C0037,2025-01-07,2959
B000150,C0037,2025-02-10,4605
B000151,C0038,2024-04-24,18709
B000152,C0038,2025-05-27,3953
B000153,C0038,2025-06-18,19019
B000154,C0039,2024-09-14,16267
B000155,C0039,2024-04-02,7801
B000156,C0039,2025-09-06,4006
B000157,C0039,2024-11-16,10790
B000158,C0039,2025-08-21,12777
B000159,C0039,2024-08-29,13856
B000160,C0040,2024-05-27,3500
B000161,C0040,2024-06-28,7015
B000162,C0040,2024-10-08,14400
B000163,C0041,2024-09-17,19316
B000164,C0041,2024-02-27,16068
B000165,C0041,2025-06-30,12278
B000166,C0041,2025-12-17,3701
B000167,C0041,2024-11-20,17882
B000168,C0042,2025-05-01,8072
B000169,C0042,2024-10-11,4748
B000170,C0042,2025-01-06,15572
B000171,C0042,2025-01-11,10098
B000172,C0042,2024-01-22,19851
B000173,C0043,2025-11-09,1791
B000174,C0043,2025-12-08,7853
B000175,C0044,2025-07-19,12605
B000176,C0044,2024-11-12,11890
B000177,C0044,2025-12-02,3999
B000178,C0044,2025-07-01,7745
B000179,C0045,2025-02-01,257
B000180,C0045,2025-02-06,8373
B000181,C0045,2024-11-04,2957
B000182,C0045,2024-08-29,9745
B000183,C0045,2024-08-03,5250
B000184,C0046,2025-10-08,10393
B000185,C0046,2025-10-21,13313
B000186,C0046,2024-02-04,8979
B000187,C0046,2024-03-23,16111
B000188,C0046,2025-04-27,13531
B000189,C0047,2025-03-08,3289
B000190,C0047,2024-06-13,8551
B000191,C0047,2025-06-02,2174
B000192,C0047,2024-12-26,13791
B000193,C0048,2025-07-14,10707
B000194,C0048,2025-04-09,896
B000195,C0048,2024-02-23,6020
B000196,C0048,2025-10-07,14529
B000197,C0048,2025-10-18,4459
B000198,C0048,2024-01-04,13128
B000199,C0049,2025-10-05,10012
B000200,C0049,2024-11-17,18868
B000201,C0049,2024-03-25,3631
B000202,C0050,2024-09-12,16920
B000203,C0050,2025-12-31,4262
B000204,C0050,2025-08-31,13445
B000205,C0051,2025-04-07,15675
B000206,C0051,2024-05-16,8541
B000207,C0051,2024-06-26,19432
B000208,C0051,2024-12-01,9233
B000209,C0052,2024-03-27,13582
B000210,C0052,2025-01-11,5960
B000211,C0052,2025-02-06,12364
B000212,C0053,2024-08-17,679
B000213,C0053,2024-01-24,18301
B000214,C0053,2025-10-24,7494
B000215,C0053,2024-04-01,15152
B000216,C0053,2024-07-22,8578
B000217,C0053,2025-12-19,5529
B000218,C0054,2025-02-14,14054
B000219,C0054,2025-09-06,8524
B000220,C0055,2024-04-01,12056
B000221,C0055,2024-06-23,18587
B000222,C0055,2024-04-30,462
B000223,C0056,2025-03-21,14867
B000224,C0056,2025-11-20,16192
B000225,C0056,2024-05-01,7355
B000226,C0056,2025-12-31,6656
B000227,C0056,2024-07-14,8722
B000228,C0056,2024-10-21,16192
B000229,C0057,2024-05-13,14133
B000230,C0057,2024-07-30,19663
B000231,C0057,2024-08-08,9272
B000232,C0057,2025-11-24,6205
B000233,C0057,2025-03-04,5910
B000234,C0058,2024-05-29,942
B000235,C0058,2024-10-24,8578
B000236,C0058,2024-08-29,14777
B000237,C0058,2024-09-11,12112
B000238,C0058,2025-08-19,15013
B000239,C0059,2024-01-11,15364
B000240,C0059,2024-05-16,10592
B000241,C0060,2025-12-04,6953
B000242,C0060,2025-12-31,12566
B000243,C0060,2025-12-26,13870
B000244,C0060,2025-09-03,8396
B000245,C0060,2024-03-15,3122
B000246,C0061,2024-03-01,1707
B000247,C0061,2024-12-06,7695
B000248,C0061,2025-04-27,11609
B000249,C0061,2025-09-12,19602
B000250,C0061,2025-12-27,1491
B000251,C0061,2024-01-06,8311
B000252,C0062,2025-09-26,12482
B000253,C0062,2024-11-05,12933
B000254,C0062,2025-11-18,12153
B000255,C0062,2024-05-15,18335
B000256,C0062,2024-02-12,19021
B000257,C0062,2024-07-02,8529
B000258,C0063,2025-05-30,16149
B000259,C0063,2024-12-13,15338
B000260,C0063,2024-05-15,2937
B000261,C0064,2025-12-28,17380
B000262,C0064,2025-03-19,4646
B000263,C0064,2024-09-23,3828
B000264,C0064,2024-11-16,1447
B000265,C0065,2025-05-26,9207
B000266,C0065,2025-01-04,14093
B000267,C0065,2024-10-16,8625
B000268,C0066,2024-09-27,16940
B000269,C0066,2024-11-16,14279
B000270,C0066,2024-06-17,10339
B000271,C0066,2025-05-18,4956
B000272,C0066,2025-07-23,14417
B000273,C0066,2024-02-24,6190
B000274,C0067,2024-02-25,7532
B000275,C0067,2024-07-06,1175
B000276,C0067,2025-04-26,8527
B000277,C0068,2025-12-23,15307
B000278,C0068,2025-03-22,3801
B000279,C0068,2025-05-21,1336
B000280,C0069,2024-12-31,18378
B000281,C0069,2025-05-11,14999
B000282,C0069,2025-05-19,3686
B000283,C0069,2024-05-31,4051
B000284,C0069,2024-12-23,3066
B000285,C0070,2024-10-17,5919
B000286,C0070,2024-06-21,16670
B000287,C0070,2024-10-06,18456
B000288,C0071,2024-08-05,19121
B000289,C0071,2024-01-05,17236
B000290,C0071,2025-08-07,5916
B000291,C0071,2025-03-02,2517
B000292,C0071,2024-09-09,16322
B000293,C0071,2025-11-24,3090
B000294,C0072,2024-01-27,9315
B000295,C0072,2025-11-28,3997
B000296,C0072,2025-02-07,12240
B000297,C0072,2025-08-27,3475
B000298,C0073,2024-06-06,946
B000299,C0073,2024-03-24,15080
B000300,C0073,2025-12-25,15723
B000301,C0073,2025-04-09,8825
B000302,C0074,2025-11-04,190
B000303,C0074,2024-12-03,1436
B000304,C0074,2025-11-02,14847
B000305,C0074,2024-11-28,18650
B000306,C0074,2024-05-12,6926
B000307,C0074,2024-02-19,9271
B000308,C0075,2024-02-26,2317
B000309,C0075,2025-07-14,19735
B000310,C0075,2025-01-25,3032
B000311,C0075,2025-02-12,8361
B000312,C0076,2024-09-02,13071
B000313,C0076,2024-04-01,672
B000314,C0076,2024-08-01,5339
B000315,C0077,2025-02-16,9336
B000316,C0077,2025-10-24,5050
B000317,C0077,2024-05-03,9782
B000318,C0077,2025-05-17,14167
B000319,C0077,2024-11-13,19775
B000320,C0078,2025-01-02,3149
B000321,C0078,2025-01-11,16798
B000322,C0078,2024-07-23,16043
B000323,C0079,2025-02-01,15611
B000324,C0079,2024-10-01,18450
B000325,C0079,2025-09-06,13863
B000326,C0079,2024-04-02,13845
B000327,C0079,2025-01-12,6106
B000328,C0080,2025-10-07,13959
B000329,C0080,2024-04-05,1325
B000330,C0080,2025-06-09,11198
B000331,C0080,2025-04-19,7347
B000332,C0080,2025-10-25,5081
B000333,C0081,2025-06-23,17192
B000334,C0081,2024-03-26,9525
B000335,C0081,2025-04-24,14331
B000336,C0081,2024-03-22,15650
B000337,C0081,2024-11-03,4869
B000338,C0082,2025-12-01,9843
B000339,C0082,2024-09-11,17140
B000340,C0082,2025-03-13,9682
B000341,C0083,2024-02-18,18054
B000342,C0083,2024-03-19,1477
B000343,C0083,2025-06-09,3526
B000344,C0083,2025-06-06,13923
B000345,C0083,2025-02-26,3096
B000346,C0083,2025-04-20,18627
B000347,C0084,2024-12-29,8351
B000348,C0084,2025-08-22,2679
B000349,C0084,2025-05-30,533
B000350,C0084,2024-04-26,15167
B000351,C0085,2024-07-05,12876
B000352,C0085,2024-02-16,2729
B000353,C0085,2025-03-02,9753
B000354,C0086,2025-08-24,14909
B000355,C0086,2025-11-17,14743
B000356,C0086,2025-09-30,8685
B000357,C0086,2024-12-15,6133
B000358,C0087,2024-07-08,2563
B000359,C0087,2025-09-10,8497
B000360,C0087,2025-11-20,3484
B000361,C0088,2025-07-01,587
B000362,C0088,2024-01-06,12941
B000363,C0088,2024-04-29,435
B000364,C0088,2024-06-24,15634
B000365,C0088,2025-04-16,13274
B000366,C0089,2025-05-13,9922
B000367,C0089,2025-09-25,11820
B000368,C0089,2025-12-08,12943
B000369,C0089,2024-11-05,2871
B000370,C0089,2024-05-08,4427
B000371,C0089,2024-01-15,6252
B000372,C0090,2024-01-17,6167
B000373,C0090,2024-01-28,6856
B000374,C0091,2025-10-26,4756
B000375,C0091,2025-10-27,7922
B000376,C0091,2025-03-22,17648
B000377,C0091,2024-07-14,2821
B000378,C0091,2024-11-04,15185
B000379,C0092,2025-04-30,13824
B000380,C0092,2024-01-23,3816
B000381,C0092,2024-06-19,4994
B000382,C0093,2025-05-11,15449
B000383,C0093,2024-01-21,14729
B000384,C0093,2025-08-22,7950
B000385,C0093,2024-07-25,9661
B000386,C0093,2025-08-06,12836
B000387,C0094,2024-12-07,258
B000388,C0094,2024-04-15,14148
B000389,C0095,2025-05-22,18961
B000390,C0095,2025-09-02,18163
B000391,C0095,2024-10-24,1212
B000392,C0095,2025-05-14,13096
B000393,C0095,2025-05-12,16821
B000394,C0096,2025-09-18,15987
B000395,C0096,2024-08-25,1989
B000396,C0096,2025-06-24,623
B000397,C0096,2025-03-08,18887
B000398,C0096,2024-11-19,18129
B000399,C0096,2024-03-06,8776
B000400,C0097,2025-04-29,3831
B000401,C0097,2025-05-21,11362
B000402,C0097,2025-04-04,14294
B000403,C0097,2024-01-22,5286
B000404,C0097,2024-10-21,6298
B000405,C0098,2024-12-18,14356
B000406,C0098,2024-08-25,16634
B000407,C0098,2024-08-12,19256
B000408,C0098,2025-12-02,11113
B000409,C0098,2025-09-08,15350
B000410,C0099,2024-10-27,12791
B000411,C0099,2025-03-02,11804
B000412,C0099,2025-04-28,5309
B000413,C0100,2024-07-31,9255
B000414,C0100,2025-12-08,2824
B000415,C0100,2025-11-14,15823
B000416,C0100,2024-05-12,5678
B000417,C0100,2024-07-23,5122
B000418,C0100,2025-09-12,16127
B000419,C0101,2025-03-01,16178
B000420,C0101,2024-11-06,7691
B000421,C0102,2025-07-24,1541
B000422,C0102,2024-01-19,11756
B000423,C0102,2024-09-24,11699
B000424,C0103,2024-06-27,16497
B000425,C0103,2024-02-02,2086
B000426,C0103,2024-12-11,14110
B000427,C0104,2025-09-24,7428
B000428,C0104,2024-05-03,18415
B000429,C0105,2025-05-13,8448
B000430,C0105,2024-12-14,11640
B000431,C0105,2024-02-17,18252
B000432,C0106,2024-06-03,16888
B000433,C0106,2025-09-10,3412
B000434,C0106,2025-12-24,1652
B000435,C0106,2025-03-24,14979
B000436,C0107,2024-04-18,19977
B000437,C0107,2024-04-14,18431
B000438,C0108,2025-06-03,3454
B000439,C0108,2024-06-20,3868
B000440,C0109,2025-01-05,5145
B000441,C0109,2024-10-26,14467
B000442,C0109,2025-06-02,16331
B000443,C0110,2024-06-06,11918
B000444,C0110,2024-12-08,4514
B000445,C0111,2024-07-25,14388
B000446,C0111,2025-03-01,215
B000447,C0112,2025-04-30,11184
B000448,C0112,2024-10-20,16548
B000449,C0112,2024-06-24,2792
B000450,C0113,2025-01-16,13599
B000451,C0113,2025-01-04,8042
B000452,C0113,2024-06-04,17355
B000453,C0113,2025-03-07,7477
B000454,C0114,2025-03-15,13546
B000455,C0114,2025-02-23,15032
B000456,C0114,2025-06-12,11854
B000457,C0115,2025-03-29,4770
B000458,C0115,2024-01-11,16952
B000459,C0116,2024-03-27,11085
B000460,C0116,2024-11-18,13161
B000461,C0117,2025-03-20,2014
B000462,C0117,2025-02-06,1215
B000463,C0117,2025-11-07,4946
B000464,C0118,2024-02-29,17032
B000465,C0118,2024-10-29,13739
B000466,C0118,2025-02-15,18140
B000467,C0118,2024-11-07,10279
B000468,C0118,2024-12-18,258
B000469,C0118,2024-10-13,17294
B000470,C0119,2024-05-30,13236
B000471,C0119,2025-04-01,6721
B000472,C0119,2025-07-11,14488
B000473,C0119,2025-12-15,11313
B000474,C0119,2025-10-26,13254
B000475,C0119,2024-07-21,9880
B000476,C0120,2024-02-07,17610
B000477,C0120,2024-12-08,12779
B000478,C0121,2025-06-16,17720
B000479,C0121,2024-10-17,7003
B000480,C0121,2024-04-05,16766
B000481,C0122,2024-11-15,17083
B000482,C0122,2024-12-14,5243
B000483,C0122,2024-01-24,913
B000484,C0122,2025-07-06,19415
B000485,C0122,2024-09-21,7908
B000486,C0122,2024-11-07,13852
B000487,C0123,2024-04-23,1964
B000488,C0123,2025-01-16,8511
B000489,C0123,2025-10-04,16629
B000490,C0123,2024-12-28,4057
B000491,C0123,2024-02-18,4087
B000492,C0123,2025-04-04,9763
B000493,C0124,2024-01-06,14848
B000494,C0124,2024-12-13,7736
B000495,C0124,2025-08-18,18533
B000496,C0124,2025-10-04,17474
B000497,C0124,2025-09-01,7662
B000498,C0124,2024-12-24,9804
B000499,C0125,2025-11-13,18768
B000500,C0125,2025-11-19,4586
B000501,C0125,2025-01-21,17028
B000502,C0125,2024-09-10,3448
B000503,C0126,2025-06-12,19083
B000504,C0126,2024-07-16,11838
B000505,C0126,2025-04-10,3210
B000506,C0126,2024-05-30,13949
B000507,C0127,2024-03-24,3022
B000508,C0127,2024-03-04,13922
B000509,C0127,2024-05-13,15605
B000510,C0127,2024-08-07,14619
B000511,C0127,2024-03-20,12101
B000512,C0128,2025-02-16,19275
B000513,C0128,2025-07-26,17004
B000514,C0128,2025-02-08,8640
B000515,C0128,2025-08-21,16345
B000516,C0128,2025-10-13,13874
B000517,C0128,2025-03-26,16041
B000518,C0129,2024-06-15,4729
B000519,C0129,2025-06-01,4165
B000520,C0129,2025-05-11,14998
B000521,C0129,2024-05-12,16816
B000522,C0129,2025-06-25,3868
B000523,C0130,2025-04-11,15510
B000524,C0130,2024-02-03,5139
B000525,C0130,2025-07-26,12102
B000526,C0131,2025-09-08,13389
B000527,C0131,2024-04-22,3960
B000528,C0132,2025-08-08,9489
B000529,C0132,2024-02-11,17130
B000530,C0132,2024-06-05,3858
B000531,C0132,2025-01-15,9991
B000532,C0133,2024-11-06,9633
B000533,C0133,2025-05-12,916
B000534,C0133,2024-05-26,4657
B000535,C0133,2025-08-26,13820
B000536,C0134,2024-11-08,9289
B000537,C0134,2024-08-08,5999
B000538,C0135,2024-01-03,4008
B000539,C0135,2025-07-14,11424
B000540,C0135,2024-03-10,1464
B000541,C0135,2025-03-03,15767
B000542,C0135,2025-08-09,10148
B000543,C0136,2025-04-08,11069
B000544,C0136,2025-01-21,15572
B000545,C0136,2025-09-12,4351
B000546,C0136,2024-05-21,16540
B000547,C0136,2025-10-13,15103
B000548,C0136,2025-04-05,14715
B000549,C0137,2024-11-29,2926
B000550,C0137,2025-10-01,13422
B000551,C0137,2025-01-31,7629
B000552,C0138,2024-12-13,17727
B000553,C0138,2024-02-16,14519
B000554,C0138,2024-10-11,2900
B000555,C0138,2024-06-18,812
B000556,C0138,2025-08-08,10120
B000557,C0139,2025-10-22,4056
B000558,C0139,2025-10-21,18328
B000559,C0139,2024-03-28,6305
B000560,C0139,2025-09-25,17754
B000561,C0139,2025-08-13,1732
B000562,C0139,2025-08-06,17096
B000563,C0140,2025-05-02,16470
B000564,C0140,2024-01-20,3941
B000565,C0140,2025-11-05,17427
B000566,C0141,2024-01-20,9009
B000567,C0141,2024-07-29,8037
B000568,C0141,2025-12-23,18990
B000569,C0142,2024-03-27,17483
B000570,C0142,2025-09-13,10499
B000571,C0142,2025-02-15,19296
B000572,C0142,2024-02-16,16104
B000573,C0142,2024-01-24,11139
B000574,C0143,2024-07-03,13596
B000575,C0143,2024-01-25,17298
B000576,C0143,2024-11-20,12517
B000577,C0143,2024-09-20,2982
B000578,C0143,2024-04-27,3254
B000579,C0144,2024-06-21,9350
B000580,C0144,2024-05-27,5985
B000581,C0144,2024-09-18,2936
B000582,C0144,2024-06-06,10053
B000583,C0144,2025-02-21,5544
B000584,C0144,2024-03-01,10659
B000585,C0145,2024-01-28,1916
B000586,C0145,2024-11-01,12777
B000587,C0145,2024-04-11,10487
B000588,C0146,2025-02-26,10623
B000589,C0146,2024-09-21,12304
B000590,C0146,2024-05-03,1699
B000591,C0147,2024-09-02,19562
B000592,C0147,2025-08-23,7749
B000593,C0147,2025-05-19,16666
B000594,C0148,2025-01-29,3770
B000595,C0148,2024-10-02,1986
B000596,C0148,2024-11-21,15231
B000597,C0148,2025-07-20,13339
B000598,C0148,2024-03-08,15865
B000599,C0148,2024-01-30,13352
B000600,C0149,2024-01-20,8819
B000601,C0149,2025-07-21,19207
B000602,C0149,2025-11-22,3326
B000603,C0150,2025-07-22,4114
B000604,C0150,2024-11-07,18620
B000605,C0150,2025-02-20,14613
B000606,C0151,2025-10-13,16398
B000607,C0151,2024-07-27,4665
B000608,C0152,2025-07-07,5511
B000609,C0152,2024-09-08,17613
B000610,C0152,2025-03-09,18191
B000611,C0152,2025-04-07,1369
B000612,C0153,2025-04-20,9478
B000613,C0153,2025-10-30,5484
B000614,C0154,2024-03-02,15800
B000615,C0154,2024-10-06,19590
B000616,C0155,2025-11-27,12456
B000617,C0155,2024-12-25,6971
B000618,C0155,2025-08-22,16722
B000619,C0155,2024-10-15,1490
B000620,C0156,2025-06-30,18451
B000621,C0156,2024-03-12,9851
B000622,C0156,2024-04-01,12953
B000623,C0157,2024-05-23,18234
B000624,C0157,2024-10-13,14154
B000625,C0158,2025-09-17,16541
B000626,C0158,2024-11-21,11227
B000627,C0158,2025-10-12,8564
B000628,C0159,2024-10-06,8058
B000629,C0159,2025-11-09,10539
B000630,C0159,2024-12-15,6901
B000631,C0159,2025-04-15,19644
B000632,C0159,2024-12-02,520
B000633,C0160,2025-10-23,67
B000634,C0160,2025-09-15,15614
B000635,C0160,2024-01-05,313
B000636,C0161,2025-02-27,18212
B000637,C0161,2025-12-14,16022
B000638,C0161,2025-02-06,17633
B000639,C0162,2025-10-26,2540
B000640,C0162,2025-07-05,1014
B000641,C0163,2025-11-19,4044
B000642,C0163,2024-12-27,12333
B000643,C0163,2025-09-07,11729
B000644,C0163,2025-01-31,5806
B000645,C0163,2025-12-14,276
B000646,C0164,2025-04-18,12139
B000647,C0164,2024-07-16,14567
B000648,C0165,2024-08-14,648
B000649,C0165,2024-10-14,11725
B000650,C0166,2024-04-02,9934
B000651,C0166,2024-08-14,7676
B000652,C0166,2025-05-20,11894
B000653,C0167,2024-10-14,16149
B000654,C0167,2025-12-21,19858
B000655,C0168,2024-01-08,6425
B000656,C0168,2025-10-15,12978
B000657,C0168,2024-04-23,9088
B000658,C0169,2025-05-27,16187
B000659,C0169,2024-06-23,18080
B000660,C0169,2024-07-17,18537
B000661,C0169,2025-11-19,19758
B000662,C0169,2025-08-01,5751
B000663,C0169,2024-03-07,19272
B000664,C0170,2024-03-07,4175
B000665,C0170,2024-09-22,18674
B000666,C0170,2024-08-21,17140
B000667,C0171,2024-07-15,757
B000668,C0171,2025-12-10,17463
B000669,C0171,2025-09-21,8287
B000670,C0171,2025-11-28,18353
B000671,C0172,2024-01-03,13995
B000672,C0172,2025-10-18,1699
B000673,C0172,2024-11-26,14173
B000674,C0172,2025-02-20,8979
B000675,C0172,2024-05-04,16983
B000676,C0173,2025-05-22,11844
B000677,C0173,2025-06-13,1424
B000678,C0173,2024-08-17,1538
B000679,C0173,2024-10-11,13764
B000680,C0173,2025-06-29,14708
B000681,C0174,2024-01-06,12840
B000682,C0174,2024-07-18,10967
B000683,C0174,2024-03-24,18737
B000684,C0174,2024-01-26,7393
B000685,C0175,2024-03-17,8191
B000686,C0175,2024-07-20,5389
B000687,C0175,2024-12-03,10184
B000688,C0175,2024-03-05,3169
B000689,C0175,2024-01-29,15727
B000690,C0176,2024-01-25,19416
B000691,C0176,2025-10-03,10954
B000692,C0176,2024-09-13,8098
B000693,C0176,2024-04-20,15518
B000694,C0176,2024-09-01,11167
B000695,C0177,2024-12-07,17028
B000696,C0177,2024-08-30,2389
B000697,C0178,2025-09-26,14369
B000698,C0178,2024-04-07,14629
B000699,C0178,2025-08-15,4090
B000700,C0178,2024-03-28,1988
B000701,C0178,2024-02-04,12366
B000702,C0178,2024-11-16,2130
B000703,C0179,2024-03-04,14480
B000704,C0179,2024-02-26,9878
B000705,C0179,2025-09-17,14150
B000706,C0180,2024-04-14,1828
B000707,C0180,2025-07-26,1710
B000708,C0181,2025-01-25,13162
B000709,C0181,2024-04-08,13471
B000710,C0181,2024-08-26,19646
B000711,C0181,2025-11-06,347
B000712,C0182,2025-01-28,15211
B000713,C0182,2025-03-14,3318
B000714,C0182,2024-12-13,851
B000715,C0182,2025-04-09,16948
B000716,C0182,2024-12-02,19261
B000717,C0183,2024-04-20,3364
B000718,C0183,2024-01-13,19502
B000719,C0183,2025-12-31,2213
B000720,C0184,2024-07-17,18783
B000721,C0184,2024-05-09,16675
B000722,C0184,2024-09-19,11645
B000723,C0184,2025-03-07,15774
B000724,C0184,2025-09-27,14569
B000725,C0184,2024-07-09,7967
B000726,C0185,2024-02-15,1982
B000727,C0185,2024-05-10,10212
B000728,C0185,2025-08-21,14281
B000729,C0186,2025-10-29,11722
B000730,C0186,2024-11-14,19125
B000731,C0186,2025-07-08,4771
B000732,C0186,2024-05-30,15385
B000733,C0186,2024-11-12,19769
B000734,C0186,2024-12-17,9537
B000735,C0187,2024-01-09,16963
B000736,C0187,2025-08-23,4738
B000737,C0187,2024-02-28,7778
B000738,C0187,2025-06-03,18332
B000739,C0188,2025-03-08,11266
B000740,C0188,2024-07-19,6565
B000741,C0189,2024-03-11,11191
B000742,C0189,2024-07-12,15588
B000743,C0189,2025-12-12,15315
B000744,C0190,2025-12-10,10850
B000745,C0190,2025-08-15,18549
B000746,C0190,2024-12-09,9818
B000747,C0190,2025-03-04,10768
B000748,C0190,2024-06-15,3435
B000749,C0190,2025-04-10,1382
B000750,C0191,2024-08-12,121
B000751,C0191,2025-10-16,7308
B000752,C0191,2025-12-10,7545
B000753,C0191,2025-04-22,6984
B000754,C0191,2024-09-01,15753
B000755,C0192,2025-01-19,6727
B000756,C0192,2025-02-13,6037
B000757,C0192,2024-01-07,11888
B000758,C0192,2024-01-11,2416
B000759,C0193,2024-01-31,18176
B000760,C0193,2024-04-27,4666
B000761,C0193,2024-10-24,14431
B000762,C0193,2024-07-18,19191
B000763,C0194,2024-02-14,972
B000764,C0194,2024-07-22,6482
B000765,C0194,2024-10-17,5706
B000766,C0194,2024-08-12,8585
B000767,C0195,2024-12-13,18170
B000768,C0195,2024-09-08,5850
B000769,C0195,2024-07-19,704
B000770,C0196,2024-09-25,3315
B000771,C0196,2024-01-22,4497
B000772,C0196,2025-01-23,3636
B000773,C0197,2024-08-03,9996
B000774,C0197,2025-04-12,7869
B000775,C0197,2025-01-13,12201
B000776,C0197,2025-11-07,5615
B000777,C0198,2025-09-30,14212
