customer_id,customer_name,segment,region,industry,employee_size,acquisition_channel,subscription_type,customer_status,acquisition_date
C0052,Customer_52,Enterprise,East,Manufacturing,3379,Direct Sales,Yearly,Active,2025-03-10
C0053,Customer_53,Enterprise,South,Finance,3427,Online,Monthly,Inactive,2024-05-21
C0054,Customer_54,SMB,South,Healthcare,1354,Direct Sales,Monthly,Inactive,2024-11-21
C0055,Customer_55,Enterprise,West,Finance,1684,Partner,Quarterly,Inactive,2024-08-07
C0056,Customer_56,Enterprise,South,Retail,1632,Partner,Quarterly,Inactive,2024-11-05
C0057,Customer_57,Enterprise,East,Healthcare,4223,Partner,Yearly,Inactive,2025-04-07
C0058,Customer_58,Enterprise,North,Healthcare,1512,Direct Sales,Quarterly,Active,2020-08-10
C0059,Customer_59,Mid-Market,West,Healthcare,2619,Partner,Yearly,Active,2022-02-27
C0060,Customer_60,Mid-Market,South,Healthcare,413,Direct Sales,Quarterly,Active,2022-11-30
C0061,Customer_61,Mid-Market,South,Healthcare,3583,Online,Yearly,Inactive,2023-06-30
C0062,Customer_62,SMB,North,Healthcare,4204,Partner,Yearly,Inactive,2021-10-30
C0063,Customer_63,SMB,East,Manufacturing,1092,Online,Quarterly,Inactive,2023-10-19
C0064,Customer_64,Mid-Market,South,Manufacturing,4712,Partner,Quarterly,Active,2021-09-14
C0065,Customer_65,SMB,South,Tech,4801,Direct Sales,Yearly,Inactive,2022-08-10
C0066,Customer_66,SMB,West,Finance,4237,Partner,Yearly,Active,2023-09-11
C0067,Customer_67,Enterprise,East,Manufacturing,2795,Online,Monthly,Inactive,2021-04-05
C0068,Customer_68,Enterprise,South,Retail,428,Online,Quarterly,Active,2022-07-21
C0069,Customer_69,SMB,South,Tech,4099,Partner,Monthly,Active,2023-09-05
C0070,Customer_70,Mid-Market,North,Retail,3532,Online,Monthly,Inactive,2020-04-12
C0071,Customer_71,Mid-Market,South,Retail,3789,Online,Quarterly,Inactive,2025-04-29
C0072,Customer_72,SMB,West,Manufacturing,3702,Online,Yearly,Inactive,2022-07-10
C0073,Customer_73,SMB,South,Healthcare,4320,Partner,Yearly,Active,2021-07-16
C0074,Customer_74,SMB,North,Healthcare,1970,Partner,Quarterly,Inactive,2025-01-02
C0075,Customer_75,Mid-Market,North,Finance,1285,Online,Quarterly,Active,2023-12-17
C0076,Customer_76,Enterprise,North,Tech,3389,Partner,Yearly,Inactive,2022-05-01
C0077,Customer_77,Enterprise,South,Tech,3240,Direct Sales,Yearly,Active,2024-10-20
C0078,Customer_78,Mid-Market,West,Tech,98,Partner,Quarterly,Inactive,2024-10-13
C0079,Customer_79,SMB,South,Tech,1847,Partner,Quarterly,Inactive,2020-02-29
C0080,Customer_80,SMB,East,Tech,1402,Partner,Monthly,Active,2025-01-31
C0081,Customer_81,SMB,North,Retail,3561,Online,Quarterly,Active,2020-04-12
C0082,Customer_82,SMB,West,Healthcare,1783,Partner,Quarterly,Inactive,2024-04-07
C0083,Customer_83,SMB,East,Tech,2116,Online,Quarterly,Active,2024-03-14
C0084,Customer_84,Mid-Market,North,Healthcare,1886,Direct Sales,Monthly,Active,2024-03-24
C0085,Customer_85,Enterprise,South,Finance,216,Direct Sales,Monthly,Active,2020-09-15
C0086,Customer_86,SMB,North,Manufacturing,1835,Partner,Yearly,Inactive,2024-04-19
C0087,Customer_87,SMB,South,Manufacturing,988,Online,Quarterly,Active,2023-03-31
C0088,Customer_88,Enterprise,East,Manufacturing,3124,Partner,Yearly,Active,2020-06-04
C0089,Customer_89,Mid-Market,South,Retail,2520,Direct Sales,Yearly,Active,2024-06-18
C0090,Customer_90,Mid-Market,North,Healthcare,4414,Partner,Yearly,Inactive,2020-05-21
C0091,Customer_91,Mid-Market,East,Retail,3491,Partner,Monthly,Inactive,2025-05-21
C0092,Customer_92,SMB,West,Finance,3617,Online,Yearly,Inactive,2023-06-15
C0093,Customer_93,Mid-Market,West,Tech,3618,Direct Sales,Yearly,Inactive,2021-10-22
C0094,Customer_94,Enterprise,North,Healthcare,3742,Online,Quarterly,Inactive,2021-11-19
C0095,Customer_95,Enterprise,West,Healthcare,1539,Partner,Monthly,Inactive,2024-06-21
C0096,Customer_96,SMB,East,Healthcare,4933,Direct Sales,Quarterly,Active,2022-11-24
C0097,Customer_97,Enterprise,North,Finance,3379,Partner,Yearly,Active,2023-11-15
C0098,Customer_98,SMB,West,Tech,191,Online,Quarterly,Active,2022-04-08
C0099,Customer_99,Mid-Market,South,Healthcare,4814,Partner,Quarterly,Inactive,2022-05-21
C0100,Customer_100,Mid-Market,East,Healthcare,3767,Partner,Quarterly,Inactive,2021-04-17
C0101,Customer_101,Enterprise,South,Healthcare,1029,Direct Sales,Yearly,Active,2021-01-27
C0102,Customer_102,Enterprise,West,Healthcare,4879,Direct Sales,Yearly,Inactive,2020-07-24
C0103,Customer_103,Enterprise,East,Finance,3006,Online,Quarterly,Active,2023-12-21
C0104,Customer_104,Mid-Market,South,Healthcare,422,Online,Yearly,Inactive,2023-11-29
C0105,Customer_105,Enterprise,West,Retail,150,Direct Sales,Quarterly,Inactive,2022-09-07
C0106,Customer_106,SMB,East,Finance,470,Partner,Quarterly,Active,2024-08-10
C0107,Customer_107,Enterprise,West,Tech,656,Direct Sales,Yearly,Active,2020-11-06
C0108,Customer_108,Enterprise,East,Retail,2083,Online,Yearly,Inactive,2023-05-26
C0109,Customer_109,Mid-Market,South,Manufacturing,3166,Partner,Quarterly,Inactive,2024-10-27
C0110,Customer_110,Mid-Market,West,Healthcare,4708,Direct Sales,Monthly,Active,2025-04-24
C0111,Customer_111,Enterprise,South,Healthcare,715,Online,Monthly,Active,2023-02-04
C0112,Customer_112,Enterprise,South,Retail,3396,Partner,Yearly,Inactive,2021-08-19
C0113,Customer_113,Enterprise,South,Healthcare,2366,Direct Sales,Quarterly,Active,2023-11-08
C0114,Customer_114,Enterprise,East,Manufacturing,1670,Partner,Monthly,Active,2023-08-19
C0115,Customer_115,Enterprise,East,Finance,634,Online,Monthly,Inactive,2023-05-03
C0116,Customer_116,Mid-Market,East,Tech,1068,Partner,Yearly,Inactive,2023-12-04
C0117,Customer_117,SMB,East,Manufacturing,4473,Partner,Quarterly,Active,2023-05-09
C0118,Customer_118,Enterprise,West,Healthcare,4995,Partner,Monthly,Active,2021-04-13
C0119,Customer_119,Mid-Market,North,Healthcare,4770,Online,Monthly,Inactive,2022-11-28
C0120,Customer_120,Mid-Market,West,Healthcare,1536,Direct Sales,Quarterly,Inactive,2025-06-07
C0121,Customer_121,Enterprise,West,Healthcare,3395,Partner,Quarterly,Active,2024-10-22
C0122,Customer_122,Enterprise,East,Tech,4108,Partner,Yearly,Inactive,2024-07-24
C0123,Customer_123,Mid-Market,North,Tech,771,Partner,Quarterly,Inactive,2020-08-25
C0124,Customer_124,SMB,North,Manufacturing,3834,Partner,Monthly,Active,2022-11-27
C0125,Customer_125,SMB,West,Tech,472,Online,Quarterly,Active,2025-03-14
C0126,Customer_126,SMB,West,Tech,1044,Online,Yearly,Active,2023-12-24
C0127,Customer_127,Enterprise,East,Manufacturing,162,Direct Sales,Quarterly,Active,2021-04-05
C0128,Customer_128,Enterprise,West,Retail,1311,Partner,Yearly,Inactive,2022-11-08
C0129,Customer_129,Mid-Market,East,Tech,4002,Partner,Monthly,Inactive,2023-02-02
C0130,Customer_130,Enterprise,West,Finance,4960,Direct Sales,Yearly,Active,2024-11-04
C0131,Customer_131,Enterprise,East,Tech,2834,Direct Sales,Quarterly,Active,2021-08-02
C0132,Customer_132,Mid-Market,East,Manufacturing,4800,Direct Sales,Quarterly,Active,2022-07-03
C0133,Customer_133,Mid-Market,West,Healthcare,2773,Direct Sales,Yearly,Inactive,2022-07-21
C0134,Customer_134,SMB,South,Finance,4734,Partner,Monthly,Inactive,2020-03-30
C0135,Customer_135,SMB,West,Tech,3212,Direct Sales,Yearly,Active,2022-10-11
C0136,Customer_136,Enterprise,South,Manufacturing,4884,Partner,Monthly,Inactive,2020-07-23
C0137,Customer_137,Mid-Market,West,Retail,1230,Partner,Yearly,Active,2020-06-02
C0138,Customer_138,SMB,East,Healthcare,3306,Direct Sales,Monthly,Inactive,2024-10-11
C0139,Customer_139,Mid-Market,West,Healthcare,4047,Direct Sales,Monthly,Active,2021-04-25
C0140,Customer_140,Mid-Market,East,Finance,790,Partner,Monthly,Active,2022-06-27
C0141,Customer_141,Enterprise,East,Retail,426,Partner,Monthly,Inactive,2022-01-04
C0142,Customer_142,SMB,West,Finance,2050,Direct Sales,Quarterly,Active,2020-12-14
C0143,Customer_143,Enterprise,North,Manufacturing,3183,Direct Sales,Yearly,Active,2022-10-16
C0144,Customer_144,Mid-Market,South,Finance,3827,Direct Sales,Quarterly,Inactive,2021-06-06
C0145,Customer_145,Mid-Market,North,Tech,2406,Direct Sales,Yearly,Active,2020-05-31
C0146,Customer_146,SMB,East,Manufacturing,2500,Direct Sales,Quarterly,Inactive,2022-07-24
C0147,Customer_147,SMB,South,Tech,4008,Online,Monthly,Inactive,2023-03-17
C0148,Customer_148,SMB,East,Healthcare,229,Direct Sales,Quarterly,Inactive,2020-01-17
C0149,Customer_149,Mid-Market,North,Manufacturing,4119,Partner,Monthly,Inactive,2021-03-24
C0150,Customer_150,Mid-Market,South,Manufacturing,2103,Direct Sales,Yearly,Active,2023-07-10
C0151,Customer_151,Enterprise,North,Healthcare,3661,Online,Yearly,Inactive,2024-02-08
C0152,Customer_152,Enterprise,North,Healthcare,2726,Direct Sales,Quarterly,Active,2021-02-15
C0153,Customer_153,Enterprise,East,Manufacturing,4160,Partner,Monthly,Inactive,2025-02-14
C0154,Customer_154,SMB,East,Healthcare,993,Partner,Monthly,Active,2024-03-24
C0155,Customer_155,Enterprise,West,Manufacturing,3046,Online,Quarterly,Active,2021-06-25
C0156,Customer_156,Mid-Market,North,Tech,3069,Direct Sales,Yearly,Inactive,2023-04-12
C0157,Customer_157,SMB,East,Retail,1965,Partner,Monthly,Inactive,2025-02-17
C0158,Customer_158,Mid-Market,South,Retail,3853,Direct Sales,Quarterly,Inactive,2020-08-26
C0159,Customer_159,Enterprise,North,Retail,2543,Partner,Monthly,Active,2021-04-25
C0160,Customer_160,Mid-Market,South,Tech,3766,Partner,Yearly,Inactive,2023-04-17
C0161,Customer_161,Mid-Market,South,Tech,861,Partner,Yearly,Inactive,2025-04-07
C0162,Customer_162,SMB,North,Healthcare,1829,Partner,Quarterly,Active,2024-10-17
C0163,Customer_163,SMB,North,Healthcare,4510,Direct Sales,Quarterly,Active,2022-03-26
C0164,Customer_164,SMB,South,Retail,3775,Online,Yearly,Active,2023-08-07
C0165,Customer_165,Mid-Market,North,Retail,2782,Online,Monthly,Active,2020-05-20
C0166,Customer_166,Mid-Market,South,Manufacturing,1819,Online,Quarterly,Active,2024-06-03
C0167,Customer_167,Mid-Market,North,Healthcare,1235,Online,Yearly,Inactive,2024-06-23
C0168,Customer_168,Enterprise,North,Retail,1129,Online,Quarterly,Active,2023-04-20
C0169,Customer_169,SMB,North,Finance,2223,Online,Monthly,Inactive,2022-12-13
C0170,Customer_170,Enterprise,North,Tech,3722,Partner,Yearly,Active,2022-07-14
C0171,Customer_171,Mid-Market,South,Manufacturing,405,Direct Sales,Yearly,Inactive,2022-07-27
C0172,Customer_172,Mid-Market,North,Retail,3973,Partner,Quarterly,Active,2022-10-01
C0173,Customer_173,Mid-Market,West,Retail,711,Partner,Yearly,Active,2020-05-14
C0174,Customer_174,Enterprise,East,Manufacturing,4845,Direct Sales,Yearly,Inactive,2022-02-19
C0175,Customer_175,Mid-Market,East,Tech,4191,Direct Sales,Quarterly,Active,2024-06-12
C0176,Customer_176,Mid-Market,North,Manufacturing,1811,Partner,Quarterly,Active,2022-04-27
C0177,Customer_177,SMB,West,Tech,3457,Direct Sales,Monthly,Inactive,2022-05-24
C0178,Customer_178,SMB,East,Healthcare,1300,Direct Sales,Quarterly,Active,2020-07-05
C0179,Customer_179,Enterprise,North,Tech,841,Direct Sales,Yearly,Inactive,2024-07-20
C0180,Customer_180,Enterprise,North,Manufacturing,4650,Direct Sales,Quarterly,Active,2022-04-21
C0181,Customer_181,SMB,West,Retail,2406,Direct Sales,Quarterly,Inactive,2020-07-31
C0182,Customer_182,Mid-Market,South,Finance,4000,Online,Monthly,Inactive,2024-09-27
C0183,Customer_183,Mid-Market,East,Retail,2332,Direct Sales,Monthly,Inactive,2024-09-26
C0184,Customer_184,Mid-Market,North,Manufacturing,2240,Online,Monthly,Inactive,2023-12-10
C0185,Customer_185,SMB,East,Healthcare,100,Online,Monthly,Inactive,2020-05-22
C0186,Customer_186,Enterprise,North,Retail,4395,Online,Quarterly,Inactive,2022-07-18
C0187,Customer_187,SMB,South,Healthcare,2602,Direct Sales,Quarterly,Active,2024-12-14
C0188,Customer_188,Enterprise,South,Finance,457,Direct Sales,Monthly,Inactive,2022-06-26
C0189,Customer_189,Mid-Market,West,Tech,3671,Partner,Quarterly,Active,2024-03-26
C0190,Customer_190,Mid-Market,North,Healthcare,3571,Online,Quarterly,Inactive,2022-12-15
C0191,Customer_191,Mid-Market,East,Retail,1856,Partner,Yearly,Active,2020-01-16
C0192,Customer_192,Enterprise,East,Finance,1174,Partner,Quarterly,Inactive,2020-09-02
C0193,Customer_193,Enterprise,West,Tech,1489,Online,Quarterly,Active,2022-10-21
C0194,Customer_194,Mid-Market,East,Retail,3302,Direct Sales,Monthly,Inactive,2020-02-08
C0195,Customer_195,SMB,North,Healthcare,4766,Partner,Yearly,Inactive,2023-12-24
C0196,Customer_196,Mid-Market,West,Healthcare,993,Partner,Monthly,Inactive,2020-12-17
C0197,Customer_197,Mid-Market,West,Healthcare,771,Partner,Monthly,Active,2022-06-11
C0198,Customer_198,Mid-Market,West,Manufacturing,694,Partner,Quarterly,Inactive,2021-03-29
C0199,Customer_199,SMB,South,Retail,4231,Direct Sales,Monthly,Active,2025-01-29
C0200,Customer_200,SMB,East,Finance,1985,Online,Monthly,Inactive,2021-02-08
C0201,Customer_201,Enterprise,South,Retail,1501,Direct Sales,Quarterly,Inactive,2024-03-25
C0202,Customer_202,Mid-Market,West,Manufacturing,2697,Direct Sales,Quarterly,Active,2022-06-19
C0203,Customer_203,Enterprise,West,Tech,2530,Partner,Yearly,Active,2021-12-21
C0204,Customer_204,Mid-Market,North,Healthcare,3832,Partner,Monthly,Active,2022-01-25
C0205,Customer_205,SMB,North,Retail,4916,Direct Sales,Quarterly,Inactive,2023-04-03
C0206,Customer_206,Mid-Market,North,Tech,4733,Direct Sales,Monthly,Inactive,2023-05-24
C0207,Customer_207,SMB,South,Retail,3740,Online,Quarterly,Active,2022-10-30
C0208,Customer_208,Mid-Market,South,Retail,2079,Direct Sales,Quarterly,Inactive,2022-12-09
C0209,Customer_209,Mid-Market,South,Healthcare,3104,Partner,Quarterly,Inactive,2024-05-05
C0210,Customer_210,SMB,North,Healthcare,589,Partner,Monthly,Inactive,2021-08-04
C0211,Customer_211,SMB,South,Healthcare,717,Direct Sales,Yearly,Active,2025-02-20
C0212,Customer_212,SMB,East,Tech,1106,Direct Sales,Yearly,Active,2021-09-26
C0213,Customer_213,Mid-Market,West,Healthcare,1096,Direct Sales,Yearly,Active,2023-08-16
C0214,Customer_214,Mid-Market,West,Manufacturing,3014,Online,Quarterly,Inactive,2021-01-04
C0215,Customer_215,Enterprise,East,Tech,1622,Online,Monthly,Active,2020-06-07
C0216,Customer_216,SMB,North,Manufacturing,4471,Direct Sales,Yearly,Active,2023-09-17
C0217,Customer_217,SMB,South,Manufacturing,3136,Online,Monthly,Active,2024-08-29
C0218,Customer_218,Mid-Market,South,Tech,407,Partner,Quarterly,Active,2025-06-08
C0219,Customer_219,SMB,East,Tech,1966,Direct Sales,Monthly,Inactive,2025-05-31
C0220,Customer_220,SMB,South,Healthcare,4722,Partner,Quarterly,Inactive,2024-05-12
C0221,Customer_221,SMB,West,Finance,1685,Direct Sales,Monthly,Inactive,2020-04-16
C0222,Customer_222,Mid-Market,West,Healthcare,4592,Online,Yearly,Active,2021-08-06
C0223,Customer_223,Enterprise,South,Healthcare,3730,Direct Sales,Monthly,Inactive,2020-07-06
C0224,Customer_224,Enterprise,West,Healthcare,268,Partner,Monthly,Inactive,2022-10-25
C0225,Customer_225,SMB,South,Tech,718,Partner,Monthly,Active,2021-10-14
C0226,Customer_226,Enterprise,East,Finance,1177,Online,Quarterly,Inactive,2023-11-26
C0227,Customer_227,Enterprise,West,Tech,93,Online,Monthly,Inactive,2021-03-17
C0228,Customer_228,Enterprise,West,Retail,2410,Online,Quarterly,Active,2020-04-07
C0229,Customer_229,Enterprise,West,Manufacturing,3794,Online,Monthly,Inactive,2023-05-07
C0230,Customer_230,Mid-Market,North,Manufacturing,4760,Online,Yearly,Active,2021-08-19
C0231,Customer_231,SMB,North,Manufacturing,2940,Online,Yearly,Inactive,2021-01-18
C0232,Customer_232,Mid-Market,North,Manufacturing,3004,Online,Yearly,Active,2022-03-10
C0233,Customer_233,SMB,North,Tech,3108,Partner,Yearly,Active,2022-01-01
C0234,Customer_234,Enterprise,East,Finance,899,Direct Sales,Yearly,Inactive,2020-09-30
C0235,Customer_235,Enterprise,East,Manufacturing,2823,Direct Sales,Monthly,Inactive,2023-11-25
C0236,Customer_236,SMB,South,Finance,566,Direct Sales,Quarterly,Active,2021-08-23
C0237,Customer_237,Enterprise,North,Finance,393,Partner,Quarterly,Inactive,2024-07-27
C0238,Customer_238,Mid-Market,West,Healthcare,349,Direct Sales,Monthly,Inactive,2022-01-01
C0239,Customer_239,Enterprise,East,Healthcare,1069,Partner,Quarterly,Inactive,2024-03-02
C0240,Customer_240,SMB,West,Healthcare,1580,Partner,Yearly,Inactive,2022-01-22
C0241,Customer_241,Mid-Market,East,Retail,3527,Online,Quarterly,Active,2023-01-22
C0242,Customer_242,SMB,East,Retail,705,Partner,Yearly,Inactive,2021-09-19
C0243,Customer_243,SMB,West,Finance,3686,Partner,Quarterly,Active,2024-01-28
C0244,Customer_244,SMB,West,Healthcare,519,Online,Yearly,Inactive,2022-01-14
C0245,Customer_245,Mid-Market,South,Retail,1219,Direct Sales,Yearly,Inactive,2020-03-12
C0246,Customer_246,Enterprise,North,Finance,3050,Partner,Quarterly,Active,2023-05-24
C0247,Customer_247,Enterprise,West,Healthcare,3097,Partner,Monthly,Active,2022-12-20
C0248,Customer_248,SMB,West,Healthcare,2333,Online,Monthly,Active,2024-02-15
C0249,Customer_249,Enterprise,West,Manufacturing,3220,Direct Sales,Monthly,Inactive,2024-05-06
C0250,Customer_250,SMB,West,Finance,2389,Direct Sales,Quarterly,Active,2020-09-08
C0251,Customer_251,Enterprise,North,Tech,1464,Direct Sales,Quarterly,Active,2024-07-17
C0252,Customer_252,Mid-Market,East,Healthcare,581,Direct Sales,Yearly,Inactive,2024-12-30
C0253,Customer_253,SMB,South,Finance,3011,Direct Sales,Monthly,Active,2021-02-15
C0254,Customer_254,Enterprise,South,Tech,265,Partner,Yearly,Inactive,2022-08-15
C0255,Customer_255,Mid-Market,South,Manufacturing,756,Online,Quarterly,Inactive,2024-01-08
C0256,Customer_256,Mid-Market,West,Manufacturing,3415,Partner,Yearly,Active,2020-09-13
C0257,Customer_257,SMB,North,Tech,3866,Direct Sales,Yearly,Inactive,2020-09-19
C0258,Customer_258,Mid-Market,South,Finance,3594,Direct Sales,Monthly,Active,2022-11-27
C0259,Customer_259,Enterprise,East,Finance,1376,Partner,Yearly,Active,2021-12-09
C0260,Customer_260,Mid-Market,East,Retail,2102,Online,Yearly,Inactive,2020-09-13
C0261,Customer_261,Mid-Market,East,Manufacturing,4420,Online,Yearly,Active,2023-04-27
C0262,Customer_262,Mid-Market,South,Finance,2815,Direct Sales,Monthly,Active,2020-06-15
C0263,Customer_263,Enterprise,East,Finance,4736,Partner,Yearly,Active,2022-10-16
C0264,Customer_264,Mid-Market,East,Healthcare,4006,Online,Yearly,Inactive,2021-09-01
C0265,Customer_265,SMB,North,Retail,1344,Partner,Quarterly,Inactive,2022-08-09
C0266,Customer_266,Enterprise,East,Manufacturing,1226,Partner,Yearly,Inactive,2024-02-12
C0267,Customer_267,SMB,West,Finance,3085,Direct Sales,Yearly,Active,2021-10-15
C0268,Customer_268,Enterprise,West,Retail,2241,Partner,Monthly,Active,2020-07-17
C0269,Customer_269,Enterprise,East,Tech,3475,Online,Monthly,Inactive,2025-03-27
C0270,Customer_270,Mid-Market,East,Finance,1355,Partner,Yearly,Inactive,2022-10-18
C0271,Customer_271,SMB,West,Retail,787,Partner,Yearly,Inactive,2025-06-02
C0272,Customer_272,Enterprise,South,Manufacturing,2940,Online,Monthly,Inactive,2022-10-10
C0273,Customer_273,Mid-Market,West,Healthcare,4446,Online,Monthly,Inactive,2020-10-01
C0274,Customer_274,SMB,East,Tech,3047,Online,Quarterly,Active,2023-03-13
C0275,Customer_275,Mid-Market,South,Healthcare,4582,Partner,Monthly,Inactive,2022-10-29
C0276,Customer_276,SMB,East,Manufacturing,1023,Online,Monthly,Inactive,2022-02-03
C0277,Customer_277,SMB,East,Finance,1680,Direct Sales,Yearly,Inactive,2022-10-21
C0278,Customer_278,Enterprise,North,Retail,1172,Direct Sales,Quarterly,Inactive,2022-11-29
C0279,Customer_279,SMB,South,Manufacturing,4273,Online,Quarterly,Inactive,2020-11-28
C0280,Customer_280,SMB,East,Manufacturing,2805,Direct Sales,Yearly,Inactive,2023-12-22
C0281,Customer_281,Mid-Market,East,Tech,186,Partner,Quarterly,Active,2022-05-03
C0282,Customer_282,Mid-Market,East,Retail,4939,Partner,Quarterly,Active,2024-01-17
C0283,Customer_283,Enterprise,West,Finance,4344,Direct Sales,Yearly,Inactive,2020-10-29
C0284,Customer_284,Mid-Market,South,Retail,4740,Direct Sales,Monthly,Active,2020-02-08
C0285,Customer_285,SMB,East,Tech,1290,Partner,Yearly,Active,2022-04-20
C0286,Customer_286,Mid-Market,West,Retail,1181,Direct Sales,Monthly,Inactive,2023-09-18
C0287,Customer_287,SMB,West,Healthcare,1468,Partner,Yearly,Inactive,2023-01-23
C0288,Customer_288,SMB,East,Manufacturing,4016,Online,Monthly,Inactive,2023-02-16
C0289,Customer_289,SMB,South,Healthcare,2417,Direct Sales,Monthly,Inactive,2021-10-11
C0290,Customer_290,SMB,East,Manufacturing,2290,Partner,Monthly,Inactive,2025-01-08
C0291,Customer_291,SMB,East,Finance,2429,Online,Quarterly,Active,2021-12-10
C0292,Customer_292,SMB,East,Tech,1802,Online,Yearly,Inactive,2025-03-25
C0293,Customer_293,Mid-Market,East,Finance,944,Direct Sales,Yearly,Active,2021-05-11
C0294,Customer_294,Enterprise,South,Finance,480,Online,Quarterly,Inactive,2024-01-09
C0295,Customer_295,SMB,North,Finance,92,Direct Sales,Monthly,Inactive,2023-08-30
C0296,Customer_296,SMB,West,Finance,2403,Partner,Quarterly,Active,2025-02-02
C0297,Customer_297,Enterprise,South,Manufacturing,355,Online,Quarterly,Active,2025-03-27
